Values,Year,Province (NUTS 2-unit) <9>,Alter unter/über 15 Jahren,Number,Annotations,Unnamed: 6
Persons in Thousand,2025,Burgenland <AT11>,Under 15 years,38.5,,
Persons in Thousand,2025,Burgenland <AT11>,15 to 24 years,26.4,,
Persons in Thousand,2025,Burgenland <AT11>,25 to 34 years,28.6,,
Persons in Thousand,2025,Burgenland <AT11>,35 to 44 years,38.0,,
Persons in Thousand,2025,Burgenland <AT11>,45 to 54 years,42.6,,
Persons in Thousand,2025,Burgenland <AT11>,55 to 64 years,50.2,,
Persons in Thousand,2025,Burgenland <AT11>,65 years and older,72.8,,
Persons in Thousand,2025,Carinthia <AT21>,Under 15 years,73.3,,
Persons in Thousand,2025,Carinthia <AT21>,15 to 24 years,52.9,,
Persons in Thousand,2025,Carinthia <AT21>,25 to 34 years,62.1,,
Persons in Thousand,2025,Carinthia <AT21>,35 to 44 years,72.2,,
Persons in Thousand,2025,Carinthia <AT21>,45 to 54 years,73.3,,
Persons in Thousand,2025,Carinthia <AT21>,55 to 64 years,92.8,,
Persons in Thousand,2025,Carinthia <AT21>,65 years and older,133.1,,
Persons in Thousand,2024,Burgenland <AT11>,Under 15 years,39.0,,
Persons in Thousand,2024,Burgenland <AT11>,15 to 24 years,26.6,,
Persons in Thousand,2024,Burgenland <AT11>,25 to 34 years,29.5,,
Persons in Thousand,2024,Burgenland <AT11>,35 to 44 years,38.2,,
Persons in Thousand,2024,Burgenland <AT11>,45 to 54 years,43.2,,
Persons in Thousand,2024,Burgenland <AT11>,55 to 64 years,50.4,,
Persons in Thousand,2024,Burgenland <AT11>,65 years and older,70.8,,
Persons in Thousand,2024,Carinthia <AT21>,Under 15 years,74.2,,
Persons in Thousand,2024,Carinthia <AT21>,15 to 24 years,53.0,,
Persons in Thousand,2024,Carinthia <AT21>,25 to 34 years,63.5,,
Persons in Thousand,2024,Carinthia <AT21>,35 to 44 years,71.7,,
Persons in Thousand,2024,Carinthia <AT21>,45 to 54 years,75.2,,
Persons in Thousand,2024,Carinthia <AT21>,55 to 64 years,92.8,,
Persons in Thousand,2024,Carinthia <AT21>,65 years and older,130.1,,
Persons in Thousand,2023,Burgenland <AT11>,Under 15 years,39.3,,
Persons in Thousand,2023,Burgenland <AT11>,15 to 24 years,26.8,,
Persons in Thousand,2023,Burgenland <AT11>,25 to 34 years,30.1,,
Persons in Thousand,2023,Burgenland <AT11>,35 to 44 years,38.4,,
Persons in Thousand,2023,Burgenland <AT11>,45 to 54 years,44.0,,
Persons in Thousand,2023,Burgenland <AT11>,55 to 64 years,50.0,,
Persons in Thousand,2023,Burgenland <AT11>,65 years and older,68.9,,
Persons in Thousand,2023,Carinthia <AT21>,Under 15 years,74.6,,
Persons in Thousand,2023,Carinthia <AT21>,15 to 24 years,53.5,,
Persons in Thousand,2023,Carinthia <AT21>,25 to 34 years,64.4,,
Persons in Thousand,2023,Carinthia <AT21>,35 to 44 years,71.2,,
Persons in Thousand,2023,Carinthia <AT21>,45 to 54 years,77.5,,
Persons in Thousand,2023,Carinthia <AT21>,55 to 64 years,92.1,,
Persons in Thousand,2023,Carinthia <AT21>,65 years and older,127.1,,
Persons in Thousand,2022,Burgenland <AT11>,Under 15 years,39.3,,
Persons in Thousand,2022,Burgenland <AT11>,15 to 24 years,26.8,,
Persons in Thousand,2022,Burgenland <AT11>,25 to 34 years,30.4,,
Persons in Thousand,2022,Burgenland <AT11>,35 to 44 years,38.1,,
Persons in Thousand,2022,Burgenland <AT11>,45 to 54 years,44.6,,
Persons in Thousand,2022,Burgenland <AT11>,55 to 64 years,49.4,,
Persons in Thousand,2022,Burgenland <AT11>,65 years and older,67.1,,
Persons in Thousand,2022,Carinthia <AT21>,Under 15 years,74.5,,
Persons in Thousand,2022,Carinthia <AT21>,15 to 24 years,53.5,,
Persons in Thousand,2022,Carinthia <AT21>,25 to 34 years,64.6,,
Persons in Thousand,2022,Carinthia <AT21>,35 to 44 years,70.3,,
Persons in Thousand,2022,Carinthia <AT21>,45 to 54 years,79.8,,
Persons in Thousand,2022,Carinthia <AT21>,55 to 64 years,91.0,,
Persons in Thousand,2022,Carinthia <AT21>,65 years and older,124.4,,
Persons in Thousand,2021,Burgenland <AT11>,Under 15 years,38.5,,
Persons in Thousand,2021,Burgenland <AT11>,15 to 24 years,26.6,,
Persons in Thousand,2021,Burgenland <AT11>,25 to 34 years,30.5,,
Persons in Thousand,2021,Burgenland <AT11>,35 to 44 years,37.8,,
Persons in Thousand,2021,Burgenland <AT11>,45 to 54 years,45.2,,
Persons in Thousand,2021,Burgenland <AT11>,55 to 64 years,48.6,,
Persons in Thousand,2021,Burgenland <AT11>,65 years and older,65.4,,
Persons in Thousand,2021,Carinthia <AT21>,Under 15 years,73.9,,
Persons in Thousand,2021,Carinthia <AT21>,15 to 24 years,53.2,,
Persons in Thousand,2021,Carinthia <AT21>,25 to 34 years,64.2,,
Persons in Thousand,2021,Carinthia <AT21>,35 to 44 years,69.1,,
Persons in Thousand,2021,Carinthia <AT21>,45 to 54 years,82.0,,
Persons in Thousand,2021,Carinthia <AT21>,55 to 64 years,90.1,,
Persons in Thousand,2021,Carinthia <AT21>,65 years and older,121.8,,
Persons in Thousand,2020,Burgenland <AT11>,Under 15 years,38.2,,
Persons in Thousand,2020,Burgenland <AT11>,15 to 24 years,26.7,,
Persons in Thousand,2020,Burgenland <AT11>,25 to 34 years,30.9,,
Persons in Thousand,2020,Burgenland <AT11>,35 to 44 years,37.5,,
Persons in Thousand,2020,Burgenland <AT11>,45 to 54 years,45.9,,
Persons in Thousand,2020,Burgenland <AT11>,55 to 64 years,47.7,,
Persons in Thousand,2020,Burgenland <AT11>,65 years and older,64.1,,
