Values,Year,Province (NUTS 2-unit) <9>,Labour Status (ILO) <5>,Number,Annotations,Unnamed: 6
Persons in Thousand,2025,Burgenland <AT11>,Employed,139.4,,
Persons in Thousand,2025,Carinthia <AT21>,Employed,265.4,,
Persons in Thousand,2024,Burgenland <AT11>,Employed,140.6,,
Persons in Thousand,2024,Carinthia <AT21>,Employed,266.5,,
Persons in Thousand,2023,Burgenland <AT11>,Employed,141.1,,
Persons in Thousand,2023,Carinthia <AT21>,Employed,264.7,,
Persons in Thousand,2022,Burgenland <AT11>,Employed,140.8,,
Persons in Thousand,2022,Carinthia <AT21>,Employed,264.8,,
Persons in Thousand,2021,Burgenland <AT11>,Employed,137.3,,
Persons in Thousand,2021,Carinthia <AT21>,Employed,257.7,,
Persons in Thousand,2020,Burgenland <AT11>,Employed,136.6,,
Persons in Thousand,2020,Carinthia <AT21>,Employed,255.7,,
Persons in Thousand,2019,Burgenland <AT11>,Employed,136.6,,
Persons in Thousand,2019,Carinthia <AT21>,Employed,264.9,,
Persons in Thousand,2018,Burgenland <AT11>,Employed,136.5,,
Persons in Thousand,2018,Carinthia <AT21>,Employed,263.6,,
Persons in Thousand,2017,Burgenland <AT11>,Employed,135.5,,
Persons in Thousand,2017,Carinthia <AT21>,Employed,259.4,,
Persons in Thousand,2016,Burgenland <AT11>,Employed,133.4,,
Persons in Thousand,2016,Carinthia <AT21>,Employed,259.7,,
Persons in Thousand,2015,Burgenland <AT11>,Employed,133.2,,
Persons in Thousand,2015,Carinthia <AT21>,Employed,255.7,,
Persons in Thousand,2014,Burgenland <AT11>,Employed,133.7,,
Persons in Thousand,2014,Carinthia <AT21>,Employed,256.8,,
Persons in Thousand,2013,Burgenland <AT11>,Employed,134.0,,
Persons in Thousand,2013,Carinthia <AT21>,Employed,257.5,,
